"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WDFG","WT01","WT03","WT04","WT05","WT06","WT11"
"USC00283662","HAMMONTON 1 NE, NJ US","2005-01-01",,,"0.00","0.0","0.0","58","35","43",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-01-02",,,"0.00","0.0","0.0","65","31","32",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-01-03",,,"0.00","0.0","0.0","48","32","45",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-01-04",,,"0.06","0.0","0.0","62","45","57",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-01-05",,,"0.28","0.0","0.0","57","44","44",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-01-06",,,"0.46","0.0","0.0","44","37","44",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-01-07",,,"0.01","0.0","0.0","45","36","38",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-01-08",,,"0.06","0.0","0.0","44","37","38",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-01-09",,,"0.34","0.0","0.0","46","32","35",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-01-10",,,"0.00","0.0","0.0","39","33","36",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-01-11",,,"0.00","0.0","0.0","50","29","30",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-01-12",,,"0.24","0.0","0.0","44","30","44",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-01-13",,,"0.00","0.0","0.0","49","43","43",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-01-14",,,"0.10","0.0","0.0","71","43","63",,"    1",,"    1",,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-01-15",,,"1.22","0.0","0.0","63","27","28",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-01-16",,,"0.00","0.0","0.0","36","26","27",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-01-17",,,"0.00","0.0","0.0","33","24","24",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-01-18",,,"0.00","0.0","0.0","29","14","14",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-01-19",,,"0.00","0.0","0.0","18","9","10",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-01-20",,,"0.05","1.1","1.0","26","10","21",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-01-21",,,"0.00","0.0","0.0","33","14","15",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-01-22",,,"0.00","0.0","0.0","21","5","8",,"    1",,"    1",,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-01-23",,,"0.91","8.3","8.0","31","8","19",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-01-24",,,"0.02","0.4","8.0","22","5","5",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-01-25",,,"0.02","0.4","8.0","24","3","12",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-01-26",,,"0.00","0.0","7.0","34","11","34",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-01-27",,,"0.02","0.0","5.0","39","13","13",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-01-28",,,"0.00","0.0","5.0","21","3","3",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-01-29",,,"0.00","0.0","4.0","24","2","2",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-01-30",,,"0.08","1.0","5.0","35","2","27",,"    1",,"    1",,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-01-31",,,"0.14","0.9","6.0","33","23","23",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-02-01",,,"0.00","0.0","6.0","38","8","8",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-02-02",,,"0.00","0.0","5.0","41","8","10",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-02-03",,,"0.00","0.0","4.0","46","10","25",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-02-04",,,"0.06","0.4","4.0","40","25","33",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-02-05",,,"0.02","0.0","3.0","41","27","33",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-02-06",,,"0.00","0.0","1.0","51","25","29",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-02-07",,,"0.00","0.0","0.0","55","25","27",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-02-08",,,"0.00","0.0","0.0","59","26","29",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-02-09",,,"0.00","0.0","0.0","59","29","37",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-02-10",,,"0.10","0.0","0.0","62","37","42",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-02-11",,,"0.02","0.0","0.0","42","29","29",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-02-12",,,"0.00","0.0","0.0","41","27","29",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-02-13",,,"0.00","0.0","0.0","43","26","26",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-02-14",,,"0.00","0.0","0.0","45","26","38",,"    1",,"    1",,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-02-15",,,"1.16","0.0","0.0","53","38","42",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-02-16",,,"0.00","0.0","0.0","61","40","42",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-02-17",,,"0.14","0.0","0.0","65","30","30",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-02-18",,,"0.00","0.0","0.0","42","25","25",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-02-19",,,"0.00","0.0","0.0","30","18","18",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-02-20",,,"0.00","0.0","0.0","33","18","20",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-02-21",,,"0.38","1.8","2.0","42","20","33",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-02-22",,,"0.04","0.0","0.0","44","33","33",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-02-23",,,"0.03","0.0","0.0","44","23","34",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-02-24",,,"0.00","0.0","0.0","44","25","28",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-02-25",,,"0.38","5.5","5.0","29","19","19",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-02-26",,,"0.00","0.0","1.0","33","14","15",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-02-27",,,"0.00","0.0","0.0","43","15","23",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-02-28",,,"0.00",,"0.0","37","23","30",,"    1",,"    1",,"    1",
"USC00283662","HAMMONTON 1 NE, NJ US","2005-03-01",,,"0.54","4.4","4.0","35","29","29",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-03-02",,,"0.00","0.0","1.0","38","29","31",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-03-03",,,"0.00","0.0","0.0","36","22","23",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-03-04",,,"0.00","0.0","0.0","35","19","20",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-03-05",,,"0.00","0.0","0.0","37","19","19",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-03-06",,,"0.00","0.0","0.0","42","19","25",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-03-07",,,"0.00","0.0","0.0","50","25","38",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-03-08",,,"0.13","0.0","0.0","69","38","50",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-03-09",,,"0.36","0.5","0.0","51","17","18",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-03-10",,,"0.00","0.0","0.0","33","16","20",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-03-11",,,"0.00","0.0","0.0","36","20","32",,,"    1",,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-03-12",,,"0.12","0.0","0.0","53","31","31",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-03-13",,,"0.00","0.0","0.0","48","30","32",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-03-14",,,"0.00","0.0","0.0","47","32","32",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-03-15",,,"0.00","0.0","0.0","43","27","28",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-03-16",,,"0.00","0.0","0.0","46","28","29",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-03-17",,,"0.00","0.0","0.0","47","29","33",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-03-18",,,"0.00","0.0","0.0","45","25","26",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-03-19",,,"0.00","0.0","0.0","55","26","30",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-03-20",,,"0.06","0.0","0.0","55","30","40",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-03-21",,,"0.15","0.0","0.0","49","38","40",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-03-22",,,"0.00","0.0","0.0","48","28","31",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-03-23",,,"0.20","0.0","0.0","57","31","40",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-03-24",,,"1.26","0.0","0.0","43","34","34",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-03-25",,,"0.00","0.0","0.0","45","32","40",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-03-26",,,"0.00","0.0","0.0","49","31","37",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-03-27",,,"0.00","0.0","0.0","51","37","41",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-03-28",,,"0.66","0.0","0.0","52","41","43",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-03-29",,,"0.76","0.0","0.0","60","43","46",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-03-30",,,"0.00","0.0","0.0","58","35","42",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-03-31",,,"0.00","0.0","0.0","62","32","37",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-04-01",,,"0.00","0.0","0.0","54","37","45",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-04-02",,,"0.59","0.0","0.0","63","44","55",,"    1",,,,,"    1"
"USC00283662","HAMMONTON 1 NE, NJ US","2005-04-03",,,"1.26","0.0","0.0","60","40","41",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-04-04",,,"0.06","0.0","0.0","47","41","42",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-04-05",,,"0.00","0.0","0.0","62","36","37",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-04-06",,,"0.00","0.0","0.0","68","37","46",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-04-07",,,"0.00","0.0","0.0","81","46","60",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-04-08",,,"1.17","0.0","0.0","77","59","59",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-04-09",,,"0.16","0.0","0.0","59","37","37",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-04-10",,,"0.00","0.0","0.0","61","34","34",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-04-11",,,"0.00","0.0","0.0","75","34","49",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-04-12",,,"0.00","0.0","0.0","60","33","36",,,,,,,
