#YY  MM DD hh mm WDIR WSPD GDR GST GTIME
#yr  mo dy hr mn degT m/s degT m/s hhmm
2008 10 30 17 00 302  8.3 999 99.0 9999
2008 10 30 17 10 316  8.3 999 99.0 9999
2008 10 30 17 20 320  8.0 999 99.0 9999
2008 10 30 17 30 320  8.4 999 99.0 9999
2008 10 30 17 40 307  7.8 999 99.0 9999
2008 10 30 17 50 308  8.1 300 11.3 1651
2008 10 30 18 00 317  8.2 999 99.0 9999
2008 10 30 18 10 313  8.1 999 99.0 9999
2008 10 30 18 20 306  7.6 999 99.0 9999
2008 10 30 18 30 312  8.4 999 99.0 9999
2008 10 30 18 40 312  8.2 999 99.0 9999
2008 10 30 18 50 312  8.5 315 12.2 1841
2008 10 30 19 00 304  7.5 999 99.0 9999
2008 10 30 19 10 305  7.6 999 99.0 9999
2008 10 30 19 20 312  7.1 999 99.0 9999
2008 10 30 19 30 316  7.2 999 99.0 9999
2008 10 30 19 40 313  7.7 999 99.0 9999
2008 10 30 19 50 305  7.3 305 10.1 1853
2008 10 30 20 00 315  8.5 999 99.0 9999
2008 10 30 20 10 317  8.0 999 99.0 9999
2008 10 30 20 20 311  8.1 999 99.0 9999
2008 10 30 20 30 319  8.6 999 99.0 9999
2008 10 30 20 40 315  7.7 999 99.0 9999
2008 10 30 20 50 322  8.0 317 11.4 2004
2008 10 30 21 00 318  8.7 999 99.0 9999
2008 10 30 21 10 319  7.7 999 99.0 9999
2008 10 30 21 20 312  7.5 999 99.0 9999
2008 10 30 21 30 308  7.9 999 99.0 9999
2008 10 30 21 40 310  7.9 999 99.0 9999
2008 10 30 21 50 315  7.8 313 11.4 2055
2008 10 30 22 00 317  8.2 999 99.0 9999
2008 10 30 22 10 317  8.2 999 99.0 9999
2008 10 30 22 20 323  7.8 999 99.0 9999
2008 10 30 22 30 324  6.7 999 99.0 9999
2008 10 30 22 40 320  7.2 999 99.0 9999
2008 10 30 22 50 320  8.1 319 10.8 2202
2008 10 30 23 00 314  8.0 999 99.0 9999
2008 10 30 23 10 316  7.9 999 99.0 9999
2008 10 30 23 20 318  8.8 999 99.0 9999
2008 10 30 23 30 316  8.3 999 99.0 9999
2008 10 30 23 40 313  8.5 999 99.0 9999
2008 10 30 23 50 315  8.5 315 10.9 2346
2008 10 31 00 00 318  8.7 999 99.0 9999
2008 10 31 00 10 314  8.4 999 99.0 9999
2008 10 31 00 20 322  7.9 999 99.0 9999
2008 10 31 00 30 319  8.1 999 99.0 9999
2008 10 31 00 40 323  8.5 999 99.0 9999
2008 10 31 00 50 325  8.0 322 13.2 2359
2008 10 31 01 00 326  7.8 999 99.0 9999
2008 10 31 01 10 320  8.3 999 99.0 9999
2008 10 31 01 20 321  8.4 999 99.0 9999
2008 10 31 01 30 318  8.3 999 99.0 9999
2008 10 31 01 40 317  8.2 999 99.0 9999
2008 10 31 01 50 324  7.6 310 10.3 0103
2008 10 31 02 00 324  7.1 999 99.0 9999
2008 10 31 02 10 320  6.5 999 99.0 9999
2008 10 31 02 20 331  6.2 999 99.0 9999
2008 10 31 02 30 327  6.1 999 99.0 9999
2008 10 31 02 40 331  5.8 999 99.0 9999
2008 10 31 02 50 333  5.4 328  9.0 0157
2008 10 31 03 00 320  5.3 999 99.0 9999
2008 10 31 03 10 319  5.4 999 99.0 9999
2008 10 31 03 20 317  5.7 999 99.0 9999
2008 10 31 03 30 318  5.9 999 99.0 9999
2008 10 31 03 40 309  6.1 999 99.0 9999
2008 10 31 03 50 310  6.2 305  7.9 0318
2008 10 31 04 00 314  6.3 999 99.0 9999
2008 10 31 04 10 307  5.7 999 99.0 9999
2008 10 31 04 20 300  5.1 999 99.0 9999
2008 10 31 04 30 297  5.1 999 99.0 9999
2008 10 31 04 40 289  5.0 999 99.0 9999
2008 10 31 04 50 285  5.0 311  7.8 0355
2008 10 31 05 00 285  5.3 999 99.0 9999
2008 10 31 05 10 280  4.9 999 99.0 9999
2008 10 31 05 20 281  5.3 999 99.0 9999
2008 10 31 05 30 274  5.7 999 99.0 9999
2008 10 31 05 40 274  5.5 999 99.0 9999
2008 10 31 05 50 271  5.4 281  6.9 0528
2008 10 31 06 00 266  5.5 999 99.0 9999
2008 10 31 06 10 263  5.4 999 99.0 9999
2008 10 31 06 20 263  4.7 999 99.0 9999
2008 10 31 06 30 265  4.7 999 99.0 9999
2008 10 31 06 40 272  4.9 999 99.0 9999
2008 10 31 06 50 270  4.8 259  7.3 0556
2008 10 31 07 00 273  5.1 999 99.0 9999
2008 10 31 07 10 268  5.1 999 99.0 9999
2008 10 31 07 20 273  5.3 999 99.0 9999
2008 10 31 07 30 271  5.6 999 99.0 9999
2008 10 31 07 40 272  5.4 999 99.0 9999
2008 10 31 07 50 274  5.6 275  6.5 0726
2008 10 31 08 00 271  5.7 999 99.0 9999
2008 10 31 08 10 268  5.7 999 99.0 9999
2008 10 31 08 20 266  6.3 999 99.0 9999
2008 10 31 08 30 270  6.9 999 99.0 9999
2008 10 31 08 40 268  6.5 999 99.0 9999
2008 10 31 08 50 272  6.5 272  7.8 0824
2008 10 31 09 00 273  6.0 999 99.0 9999
2008 10 31 09 10 272  5.7 999 99.0 9999
2008 10 31 09 20 273  4.9 999 99.0 9999
2008 10 31 09 30 270  5.0 999 99.0 9999
2008 10 31 09 40 270  4.6 999 99.0 9999
2008 10 31 09 50 279  4.4 273  7.2 0901
2008 10 31 10 00 277  4.5 999 99.0 9999
2008 10 31 10 10 273  4.4 999 99.0 9999
2008 10 31 10 20 274  4.8 999 99.0 9999
2008 10 31 10 30 278  6.0 999 99.0 9999
2008 10 31 10 40 277  5.5 999 99.0 9999
2008 10 31 10 50 277  6.6 271  8.0 1047
2008 10 31 11 00 279  6.9 999 99.0 9999
2008 10 31 11 10 272  6.6 999 99.0 9999
2008 10 31 11 20 272  6.6 999 99.0 9999
2008 10 31 11 30 271  6.1 999 99.0 9999
2008 10 31 11 40 267  6.7 999 99.0 9999
2008 10 31 11 50 272  6.5 269  8.6 1112
2008 10 31 12 00 269  6.5 999 99.0 9999
2008 10 31 12 10 266  7.1 999 99.0 9999
2008 10 31 12 20 267  6.5 999 99.0 9999
2008 10 31 12 30 267  6.2 999 99.0 9999
2008 10 31 12 40 268  6.3 999 99.0 9999
2008 10 31 12 50 266  6.2 262  8.3 1203
2008 10 31 13 00 257  5.7 999 99.0 9999
2008 10 31 13 10 252  5.3 999 99.0 9999
2008 10 31 13 20 256  5.2 999 99.0 9999
2008 10 31 13 30 259  5.8 999 99.0 9999
2008 10 31 13 40 257  5.5 999 99.0 9999
2008 10 31 13 50 257  5.5 259  7.4 1252
2008 10 31 14 00 260  5.3 999 99.0 9999
2008 10 31 14 10 258  5.3 999 99.0 9999
2008 10 31 14 20 259  4.7 999 99.0 9999
2008 10 31 14 30 266  4.8 999 99.0 9999
2008 10 31 14 40 264  4.8 999 99.0 9999
2008 10 31 14 50 271  4.6 259  6.4 1403
2008 10 31 15 00 264  5.5 999 99.0 9999
2008 10 31 15 10 261  6.0 999 99.0 9999
2008 10 31 15 20 260  6.3 999 99.0 9999
2008 10 31 15 30 252  6.0 999 99.0 9999
2008 10 31 15 40 248  6.0 999 99.0 9999
2008 10 31 15 50 248  5.7 251  7.9 1516
2008 10 31 16 00 245  5.8 999 99.0 9999
2008 10 31 16 10 245  5.9 999 99.0 9999
2008 10 31 16 20 249  6.0 999 99.0 9999
2008 10 31 16 30 254  5.6 999 99.0 9999
2008 10 31 16 40 254  5.8 999 99.0 9999
2008 10 31 16 50 253  6.4 257  7.3 1646
2008 10 31 17 00 253  6.7 999 99.0 9999
2008 10 31 17 10 251  6.7 999 99.0 9999
2008 10 31 17 20 255  7.2 999 99.0 9999
2008 10 31 17 30 250  6.8 999 99.0 9999
2008 10 31 17 40 249  6.4 999 99.0 9999
2008 10 31 17 50 244  5.8 258  8.5 1717
2008 10 31 18 00 244  5.5 999 99.0 9999
2008 10 31 18 10 244  5.7 999 99.0 9999
